                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.89023,                0.73047,                 1.2354,                0.68829,                0.60052,                0.63173,                0.41873,                 1.2655,                 1.2399,                 1.6479,             0.00045285,             0.00045285,             0.00045285
                     72,                0.88027,                0.71904,                 1.2336,                0.73347,                0.60005,                0.65381,                0.42888,                 1.2747,                 1.1331,                 1.6596,              0.0004387,              0.0004387,              0.0004387
                     73,                0.88654,                0.73282,                 1.2305,                0.67109,                0.62136,                0.63385,                0.41444,                 1.2748,                 1.2176,                 1.6674,             0.00042456,             0.00042456,             0.00042456
                     74,                0.86327,                    0.7,                 1.2148,                0.64021,                0.62723,                0.63382,                0.41801,                 1.2916,                 1.1991,                 1.6889,             0.00041041,             0.00041041,             0.00041041
                     75,                0.86273,                0.70755,                  1.221,                0.64817,                 0.6144,                0.62816,                0.41883,                 1.2593,                 1.2053,                 1.6405,             0.00039626,             0.00039626,             0.00039626
                     76,                0.87258,                0.70141,                 1.2232,                0.75227,                0.58002,                  0.633,                0.41727,                 1.2847,                 1.1984,                 1.6721,             0.00038211,             0.00038211,             0.00038211
                     77,                0.85056,                0.68849,                 1.2103,                0.61093,                0.62341,                0.62771,                0.42159,                 1.2603,                 1.2152,                 1.6408,             0.00036797,             0.00036797,             0.00036797
                     78,                0.85698,                0.69842,                 1.2156,                0.67051,                0.60569,                0.63113,                0.42355,                 1.2684,                 1.2235,                 1.6732,             0.00035382,             0.00035382,             0.00035382
                     79,                0.84883,                0.67549,                 1.2071,                0.73925,                0.56307,                0.61834,                0.41404,                 1.2731,                  1.224,                 1.6789,             0.00033967,             0.00033967,             0.00033967
                     80,                0.84709,                0.69207,                 1.2093,                0.70038,                0.60637,                0.62918,                0.41598,                 1.2758,                 1.2516,                  1.672,             0.00032553,             0.00032553,             0.00032553
                     81,                 0.8448,                0.67083,                 1.2094,                 0.7008,                0.55961,                0.61175,                0.41132,                 1.2876,                 1.2849,                 1.6844,             0.00031138,             0.00031138,             0.00031138
                     82,                 0.8299,                0.66557,                 1.2051,                0.69831,                0.59769,                0.63382,                0.42506,                 1.2667,                 1.2363,                  1.663,             0.00029723,             0.00029723,             0.00029723
                     83,                0.83245,                0.67815,                  1.206,                0.73314,                0.57877,                0.63306,                0.42616,                 1.2609,                 1.2216,                 1.6487,             0.00028308,             0.00028308,             0.00028308
                     84,                0.82371,                0.65517,                 1.1922,                 0.6271,                0.61636,                0.63309,                0.42866,                 1.2623,                 1.2563,                 1.6591,             0.00026894,             0.00026894,             0.00026894
                     85,                0.82402,                0.66747,                 1.1928,                0.69989,                0.60629,                0.64211,                0.42877,                 1.2631,                 1.1815,                 1.6425,             0.00025479,             0.00025479,             0.00025479
                     86,                0.81769,                0.66404,                 1.1914,                0.65222,                0.61285,                0.62552,                0.42271,                 1.2577,                 1.2281,                 1.6449,             0.00024064,             0.00024064,             0.00024064
                     87,                 0.8159,                0.64483,                 1.1836,                0.66079,                0.61443,                 0.6371,                0.42897,                 1.2601,                 1.2127,                 1.6405,              0.0002265,              0.0002265,              0.0002265
                     88,                0.80887,                 0.6294,                 1.1767,                0.75457,                0.57556,                0.63878,                0.42398,                 1.2749,                 1.1861,                 1.6813,             0.00021235,             0.00021235,             0.00021235
                     89,                0.80789,                0.65053,                 1.1921,                0.78381,                0.59751,                0.65354,                0.43532,                 1.2708,                  1.159,                 1.6616,              0.0001982,              0.0001982,              0.0001982
                     90,                0.80919,                0.63958,                 1.1837,                0.67895,                0.62071,                0.64572,                0.43276,                  1.268,                 1.1982,                 1.6717,             0.00018406,             0.00018406,             0.00018406
                     91,                0.73405,                0.55793,                 1.1542,                 0.7434,                0.57958,                0.63327,                0.42573,                 1.2736,                 1.1843,                 1.6796,             0.00016991,             0.00016991,             0.00016991
                     92,                 0.7062,                0.51664,                 1.1394,                0.74892,                0.58604,                0.62895,                0.42441,                 1.2736,                 1.1752,                 1.6702,             0.00015576,             0.00015576,             0.00015576
                     93,                0.71178,                0.51212,                 1.1422,                 0.6826,                0.60894,                0.63598,                0.43089,                  1.254,                 1.2031,                  1.652,             0.00014161,             0.00014161,             0.00014161
                     94,                0.68466,                 0.4976,                 1.1173,                0.74872,                0.59259,                0.63733,                0.43409,                 1.2499,                 1.1903,                 1.6476,             0.00012747,             0.00012747,             0.00012747
                     95,                0.67822,                0.49613,                 1.1183,                0.73945,                0.59392,                0.63881,                0.42729,                 1.2584,                 1.1995,                 1.6578,             0.00011332,             0.00011332,             0.00011332
                     96,                0.67968,                0.50787,                 1.1168,                 0.7603,                0.58237,                0.63799,                0.43115,                 1.2593,                 1.2121,                 1.6601,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                0.67185,                0.48513,                 1.1148,                0.72798,                0.59195,                0.63722,                0.43238,                 1.2524,                 1.2059,                 1.6516,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                0.65894,                0.48026,                 1.1032,                0.70426,                 0.6149,                0.64135,                0.43306,                 1.2586,                 1.1968,                 1.6597,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                0.65807,                0.47864,                 1.1015,                0.71764,                0.60641,                0.63972,                0.43259,                 1.2531,                 1.1967,                 1.6559,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                0.65491,                0.47625,                 1.1125,                0.70951,                0.61788,                0.64723,                0.43512,                 1.2525,                 1.1898,                 1.6522,             4.2584e-05,             4.2584e-05,             4.2584e-05
